"Step","../output/proxy_Cleaned_date.json - train/loss","../output/proxy_Cleaned_date.json - train/loss__MIN","../output/proxy_Cleaned_date.json - train/loss__MAX"
"479","1.5705","1.5705","1.5705"
"480","1.5425","1.5425","1.5425"
"481","1.508","1.508","1.508"
"482","1.5629","1.5629","1.5629"
"483","1.5607","1.5607","1.5607"
"484","1.5475","1.5475","1.5475"
"485","1.5278","1.5278","1.5278"
"486","1.5396","1.5396","1.5396"
"487","1.5967","1.5967","1.5967"
"488","1.5621","1.5621","1.5621"
"489","1.5099","1.5099","1.5099"
"490","1.5214","1.5214","1.5214"
"491","1.4362","1.4362","1.4362"
"492","1.5037","1.5037","1.5037"
"493","1.4995","1.4995","1.4995"
"494","1.4819","1.4819","1.4819"
"495","1.5341","1.5341","1.5341"
"496","1.5034","1.5034","1.5034"
"497","1.5118","1.5118","1.5118"
"498","1.5634","1.5634","1.5634"
"499","1.4735","1.4735","1.4735"
"500","1.562","1.562","1.562"
"501","1.523","1.523","1.523"
"502","1.523","1.523","1.523"
"503","1.5622","1.5622","1.5622"
"504","1.5182","1.5182","1.5182"
"505","1.5195","1.5195","1.5195"
"506","1.5835","1.5835","1.5835"
"507","1.4713","1.4713","1.4713"
"508","1.5853","1.5853","1.5853"
"509","1.5618","1.5618","1.5618"
"510","1.5007","1.5007","1.5007"
"511","1.5647","1.5647","1.5647"
"512","1.4796","1.4796","1.4796"
"513","1.4893","1.4893","1.4893"
"514","1.5671","1.5671","1.5671"
"515","1.4921","1.4921","1.4921"
"516","1.5131","1.5131","1.5131"
"517","1.5154","1.5154","1.5154"
"518","1.5629","1.5629","1.5629"
"519","1.4504","1.4504","1.4504"
"520","1.4982","1.4982","1.4982"
"521","1.5251","1.5251","1.5251"
"522","1.4379","1.4379","1.4379"
"523","1.6102","1.6102","1.6102"
"524","1.4988","1.4988","1.4988"
"525","1.5264","1.5264","1.5264"
"526","1.5848","1.5848","1.5848"
"527","1.5092","1.5092","1.5092"
"528","1.5572","1.5572","1.5572"
"529","1.5256","1.5256","1.5256"
"530","1.5923","1.5923","1.5923"
"531","1.5836","1.5836","1.5836"
"532","1.4513","1.4513","1.4513"
"533","1.5843","1.5843","1.5843"
"534","1.5319","1.5319","1.5319"
"535","1.5671","1.5671","1.5671"
"536","1.5401","1.5401","1.5401"
"537","1.5531","1.5531","1.5531"
"538","1.4735","1.4735","1.4735"
"539","1.2873","1.2873","1.2873"
"540","1.2792","1.2792","1.2792"
"541","1.3146","1.3146","1.3146"
"542","1.344","1.344","1.344"
"543","1.3392","1.3392","1.3392"
"544","1.2766","1.2766","1.2766"
"545","1.284","1.284","1.284"
"546","1.2772","1.2772","1.2772"
"547","1.2933","1.2933","1.2933"
"548","1.3915","1.3915","1.3915"
"549","1.284","1.284","1.284"
"550","1.3423","1.3423","1.3423"
"551","1.4042","1.4042","1.4042"
"552","1.358","1.358","1.358"
"553","1.3024","1.3024","1.3024"
"554","1.3136","1.3136","1.3136"
"555","1.3334","1.3334","1.3334"
"556","1.2964","1.2964","1.2964"
"557","1.3305","1.3305","1.3305"
"558","1.4107","1.4107","1.4107"
"559","1.3535","1.3535","1.3535"
"560","1.2745","1.2745","1.2745"
"561","1.2862","1.2862","1.2862"
"562","1.2665","1.2665","1.2665"
"563","1.2724","1.2724","1.2724"
"564","1.2501","1.2501","1.2501"
"565","1.3427","1.3427","1.3427"
"566","1.284","1.284","1.284"
"567","1.283","1.283","1.283"
"568","1.3161","1.3161","1.3161"
"569","1.3194","1.3194","1.3194"
"570","1.3024","1.3024","1.3024"
"571","1.296","1.296","1.296"
"572","1.3413","1.3413","1.3413"
"573","1.3643","1.3643","1.3643"
"574","1.3419","1.3419","1.3419"
"575","1.3649","1.3649","1.3649"
"576","1.2957","1.2957","1.2957"
"577","1.3109","1.3109","1.3109"
"578","1.341","1.341","1.341"
"579","1.3817","1.3817","1.3817"
"580","1.3199","1.3199","1.3199"
"581","1.391","1.391","1.391"
"582","1.2995","1.2995","1.2995"
"583","1.3308","1.3308","1.3308"
"584","1.2912","1.2912","1.2912"
"585","1.2472","1.2472","1.2472"
"586","1.3217","1.3217","1.3217"
"587","1.2724","1.2724","1.2724"
"588","1.3206","1.3206","1.3206"
"589","1.3082","1.3082","1.3082"
"590","1.3078","1.3078","1.3078"
"591","1.3148","1.3148","1.3148"
"592","1.2967","1.2967","1.2967"
"593","1.3237","1.3237","1.3237"
"594","1.2959","1.2959","1.2959"
"595","1.3395","1.3395","1.3395"
"596","1.322","1.322","1.322"
"597","1.369","1.369","1.369"
"598","1.3147","1.3147","1.3147"
"599","1.3112","1.3112","1.3112"
"600","1.2265","1.2265","1.2265"
"601","1.378","1.378","1.378"
"602","1.3398","1.3398","1.3398"
"603","1.2518","1.2518","1.2518"
"604","1.3291","1.3291","1.3291"
"605","1.3016","1.3016","1.3016"
"606","1.3258","1.3258","1.3258"
"607","1.2887","1.2887","1.2887"
"608","1.3328","1.3328","1.3328"
"609","1.3581","1.3581","1.3581"
