"Step","../output/proxy_alpaca_data.json - train/loss","../output/proxy_alpaca_data.json - train/loss__MIN","../output/proxy_alpaca_data.json - train/loss__MAX"
"330","0.8985","0.8985","0.8985"
"331","0.9319","0.9319","0.9319"
"332","0.8739","0.8739","0.8739"
"333","0.9188","0.9188","0.9188"
"334","0.9276","0.9276","0.9276"
"335","0.9052","0.9052","0.9052"
"336","0.881","0.881","0.881"
"337","0.8923","0.8923","0.8923"
"338","0.8744","0.8744","0.8744"
"339","0.9504","0.9504","0.9504"
"340","0.9173","0.9173","0.9173"
"341","0.8961","0.8961","0.8961"
"342","0.9259","0.9259","0.9259"
"343","0.8888","0.8888","0.8888"
"344","0.9269","0.9269","0.9269"
"345","0.9111","0.9111","0.9111"
"346","0.9022","0.9022","0.9022"
"347","0.9126","0.9126","0.9126"
"348","0.9215","0.9215","0.9215"
"349","0.9002","0.9002","0.9002"
"350","0.9365","0.9365","0.9365"
"351","0.9404","0.9404","0.9404"
"352","0.9205","0.9205","0.9205"
"353","0.8976","0.8976","0.8976"
"354","0.9523","0.9523","0.9523"
"355","0.9083","0.9083","0.9083"
"356","0.9061","0.9061","0.9061"
"357","0.9228","0.9228","0.9228"
"358","0.9291","0.9291","0.9291"
"359","0.9516","0.9516","0.9516"
"360","0.9158","0.9158","0.9158"
"361","0.9561","0.9561","0.9561"
"362","0.8873","0.8873","0.8873"
"363","0.9392","0.9392","0.9392"
"364","0.8944","0.8944","0.8944"
"365","0.9313","0.9313","0.9313"
"366","0.9383","0.9383","0.9383"
"367","0.9388","0.9388","0.9388"
"368","0.9213","0.9213","0.9213"
"369","0.9023","0.9023","0.9023"
"370","0.9301","0.9301","0.9301"
"371","0.9173","0.9173","0.9173"
"372","0.9315","0.9315","0.9315"
"373","0.9367","0.9367","0.9367"
"374","0.9264","0.9264","0.9264"
"375","0.8871","0.8871","0.8871"
"376","0.8919","0.8919","0.8919"
"377","0.8984","0.8984","0.8984"
"378","0.9327","0.9327","0.9327"
"379","0.9342","0.9342","0.9342"
"380","0.9222","0.9222","0.9222"
"381","0.9347","0.9347","0.9347"
"382","0.9447","0.9447","0.9447"
"383","0.9241","0.9241","0.9241"
"384","0.9308","0.9308","0.9308"
"385","0.9383","0.9383","0.9383"
"386","0.9284","0.9284","0.9284"
"387","0.9264","0.9264","0.9264"
"388","0.912","0.912","0.912"
"389","0.9474","0.9474","0.9474"
"390","0.9209","0.9209","0.9209"
"391","0.9186","0.9186","0.9186"
"392","0.9026","0.9026","0.9026"
"393","0.9309","0.9309","0.9309"
"394","0.9231","0.9231","0.9231"
"395","0.9268","0.9268","0.9268"
"396","0.9355","0.9355","0.9355"
"397","0.931","0.931","0.931"
"398","0.9154","0.9154","0.9154"
"399","0.9215","0.9215","0.9215"
"400","0.9119","0.9119","0.9119"
"401","0.9215","0.9215","0.9215"
"402","0.9106","0.9106","0.9106"
"403","0.9508","0.9508","0.9508"
"404","0.9606","0.9606","0.9606"
"405","0.9372","0.9372","0.9372"
"406","0.8286","0.8286","0.8286"
"407","0.7001","0.7001","0.7001"
"408","0.7167","0.7167","0.7167"
"409","0.6905","0.6905","0.6905"
"410","0.6919","0.6919","0.6919"
"411","0.7062","0.7062","0.7062"
"412","0.7316","0.7316","0.7316"
"413","0.7025","0.7025","0.7025"
"414","0.6709","0.6709","0.6709"
"415","0.6848","0.6848","0.6848"
"416","0.6878","0.6878","0.6878"
"417","0.6955","0.6955","0.6955"
"418","0.6959","0.6959","0.6959"
"419","0.7083","0.7083","0.7083"
"420","0.6825","0.6825","0.6825"
"421","0.6708","0.6708","0.6708"
"422","0.6943","0.6943","0.6943"
"423","0.719","0.719","0.719"
"424","0.6856","0.6856","0.6856"
"425","0.6817","0.6817","0.6817"
"426","0.7048","0.7048","0.7048"
"427","0.7026","0.7026","0.7026"
"428","0.7026","0.7026","0.7026"
"429","0.6989","0.6989","0.6989"
"430","0.6757","0.6757","0.6757"
"431","0.6799","0.6799","0.6799"
"432","0.6645","0.6645","0.6645"
"433","0.7205","0.7205","0.7205"
"434","0.6924","0.6924","0.6924"
"435","0.6802","0.6802","0.6802"
"436","0.6933","0.6933","0.6933"
"437","0.7039","0.7039","0.7039"
"438","0.7085","0.7085","0.7085"
"439","0.6993","0.6993","0.6993"
"440","0.7304","0.7304","0.7304"
"441","0.7292","0.7292","0.7292"
"442","0.7121","0.7121","0.7121"
"443","0.663","0.663","0.663"
"444","0.6832","0.6832","0.6832"
"445","0.6889","0.6889","0.6889"
"446","0.6758","0.6758","0.6758"
"447","0.6909","0.6909","0.6909"
"448","0.6898","0.6898","0.6898"
"449","0.7045","0.7045","0.7045"
"450","0.7439","0.7439","0.7439"
"451","0.7298","0.7298","0.7298"
"452","0.7445","0.7445","0.7445"
"453","0.7091","0.7091","0.7091"
"454","0.7107","0.7107","0.7107"
"455","0.6948","0.6948","0.6948"
"456","0.7342","0.7342","0.7342"
"457","0.7224","0.7224","0.7224"
"458","0.7011","0.7011","0.7011"
"459","0.7291","0.7291","0.7291"
"460","0.7238","0.7238","0.7238"
"461","0.6789","0.6789","0.6789"
"462","0.702","0.702","0.702"
"463","0.7411","0.7411","0.7411"
"464","0.7072","0.7072","0.7072"
"465","0.6943","0.6943","0.6943"
"466","0.7058","0.7058","0.7058"
"467","0.7085","0.7085","0.7085"
"468","0.7226","0.7226","0.7226"
"469","0.721","0.721","0.721"
"470","0.7454","0.7454","0.7454"
"471","0.7149","0.7149","0.7149"
"472","0.7002","0.7002","0.7002"
"473","0.7161","0.7161","0.7161"
"474","0.7225","0.7225","0.7225"
"475","0.7087","0.7087","0.7087"
"476","0.7242","0.7242","0.7242"
"477","0.7259","0.7259","0.7259"
"478","0.7294","0.7294","0.7294"
"479","0.6956","0.6956","0.6956"
"480","0.7449","0.7449","0.7449"
"481","0.7321","0.7321","0.7321"
"482","0.6973","0.6973","0.6973"
"483","0.7838","0.7838","0.7838"
"484","0.7141","0.7141","0.7141"
"485","0.7188","0.7188","0.7188"
"486","0.7332","0.7332","0.7332"
"487","0.7049","0.7049","0.7049"
"488","0.7331","0.7331","0.7331"
"489","0.7296","0.7296","0.7296"
"490","0.735","0.735","0.735"
"491","0.7453","0.7453","0.7453"
"492","0.7104","0.7104","0.7104"
"493","0.721","0.721","0.721"
"494","0.7197","0.7197","0.7197"
"495","0.7344","0.7344","0.7344"
"496","0.7261","0.7261","0.7261"
"497","0.7401","0.7401","0.7401"
"498","0.7112","0.7112","0.7112"
"499","0.7011","0.7011","0.7011"
"500","0.692","0.692","0.692"
"501","0.744","0.744","0.744"
"502","0.7007","0.7007","0.7007"
"503","0.7107","0.7107","0.7107"
"504","0.7375","0.7375","0.7375"
"505","0.7598","0.7598","0.7598"
"506","0.7475","0.7475","0.7475"
"507","0.7104","0.7104","0.7104"
"508","0.535","0.535","0.535"
"509","0.5212","0.5212","0.5212"
"510","0.5554","0.5554","0.5554"
"511","0.5356","0.5356","0.5356"
"512","0.4961","0.4961","0.4961"
"513","0.5168","0.5168","0.5168"
"514","0.5208","0.5208","0.5208"
"515","0.4932","0.4932","0.4932"
"516","0.4979","0.4979","0.4979"
"517","0.4763","0.4763","0.4763"
"518","0.5172","0.5172","0.5172"
"519","0.5106","0.5106","0.5106"
"520","0.5004","0.5004","0.5004"
"521","0.504","0.504","0.504"
"522","0.485","0.485","0.485"
"523","0.491","0.491","0.491"
"524","0.4915","0.4915","0.4915"
"525","0.4982","0.4982","0.4982"
"526","0.4944","0.4944","0.4944"
"527","0.4866","0.4866","0.4866"
"528","0.488","0.488","0.488"
"529","0.4967","0.4967","0.4967"
"530","0.5223","0.5223","0.5223"
"531","0.4712","0.4712","0.4712"
"532","0.4804","0.4804","0.4804"
"533","0.5425","0.5425","0.5425"
"534","0.4866","0.4866","0.4866"
"535","0.5007","0.5007","0.5007"
"536","0.4886","0.4886","0.4886"
"537","0.5028","0.5028","0.5028"
"538","0.4889","0.4889","0.4889"
"539","0.4765","0.4765","0.4765"
"540","0.4699","0.4699","0.4699"
"541","0.5051","0.5051","0.5051"
"542","0.459","0.459","0.459"
"543","0.4629","0.4629","0.4629"
"544","0.4961","0.4961","0.4961"
"545","0.524","0.524","0.524"
"546","0.4897","0.4897","0.4897"
"547","0.4717","0.4717","0.4717"
"548","0.4799","0.4799","0.4799"
"549","0.5132","0.5132","0.5132"
"550","0.4803","0.4803","0.4803"
"551","0.4961","0.4961","0.4961"
"552","0.5267","0.5267","0.5267"
"553","0.5135","0.5135","0.5135"
"554","0.4958","0.4958","0.4958"
"555","0.5014","0.5014","0.5014"
"556","0.503","0.503","0.503"
"557","0.4832","0.4832","0.4832"
"558","0.4903","0.4903","0.4903"
"559","0.5209","0.5209","0.5209"
"560","0.5166","0.5166","0.5166"
"561","0.517","0.517","0.517"
"562","0.496","0.496","0.496"
"563","0.4716","0.4716","0.4716"
"564","0.4812","0.4812","0.4812"
"565","0.5068","0.5068","0.5068"
"566","0.5063","0.5063","0.5063"
"567","0.5049","0.5049","0.5049"
"568","0.511","0.511","0.511"
"569","0.5191","0.5191","0.5191"
"570","0.5267","0.5267","0.5267"
"571","0.504","0.504","0.504"
"572","0.5437","0.5437","0.5437"
"573","0.5209","0.5209","0.5209"
"574","0.5179","0.5179","0.5179"
"575","0.4862","0.4862","0.4862"
"576","0.5174","0.5174","0.5174"
"577","0.5357","0.5357","0.5357"
"578","0.482","0.482","0.482"
"579","0.494","0.494","0.494"
"580","0.4958","0.4958","0.4958"
"581","0.4679","0.4679","0.4679"
"582","0.5161","0.5161","0.5161"
"583","0.5004","0.5004","0.5004"
"584","0.5211","0.5211","0.5211"
"585","0.5357","0.5357","0.5357"
"586","0.5079","0.5079","0.5079"
"587","0.5042","0.5042","0.5042"
"588","0.5191","0.5191","0.5191"
"589","0.5302","0.5302","0.5302"
"590","0.5064","0.5064","0.5064"
"591","0.5074","0.5074","0.5074"
"592","0.5316","0.5316","0.5316"
"593","0.5047","0.5047","0.5047"
"594","0.5192","0.5192","0.5192"
"595","0.5006","0.5006","0.5006"
"596","0.5331","0.5331","0.5331"
"597","0.5136","0.5136","0.5136"
"598","0.5315","0.5315","0.5315"
"599","0.5399","0.5399","0.5399"
"600","0.5121","0.5121","0.5121"
"601","0.5181","0.5181","0.5181"
"602","0.5401","0.5401","0.5401"
"603","0.5196","0.5196","0.5196"
"604","0.5252","0.5252","0.5252"
"605","0.483","0.483","0.483"
"606","0.5014","0.5014","0.5014"
"607","0.5158","0.5158","0.5158"
"608","0.516","0.516","0.516"
"609","0.4711","0.4711","0.4711"
"610","0.3384","0.3384","0.3384"
"611","0.3324","0.3324","0.3324"
"612","0.3348","0.3348","0.3348"
"613","0.3238","0.3238","0.3238"
"614","0.3374","0.3374","0.3374"
"615","0.3328","0.3328","0.3328"
"616","0.2962","0.2962","0.2962"
"617","0.3328","0.3328","0.3328"
"618","0.3086","0.3086","0.3086"
"619","0.3202","0.3202","0.3202"
"620","0.3185","0.3185","0.3185"
"621","0.306","0.306","0.306"
"622","0.3114","0.3114","0.3114"
"623","0.3265","0.3265","0.3265"
"624","0.328","0.328","0.328"
"625","0.3342","0.3342","0.3342"
"626","0.3146","0.3146","0.3146"
"627","0.3185","0.3185","0.3185"
"628","0.3174","0.3174","0.3174"
"629","0.3177","0.3177","0.3177"
"630","0.3046","0.3046","0.3046"
"631","0.3545","0.3545","0.3545"
"632","0.3514","0.3514","0.3514"
"633","0.3164","0.3164","0.3164"
"634","0.3351","0.3351","0.3351"
"635","0.3192","0.3192","0.3192"
"636","0.3112","0.3112","0.3112"
"637","0.2996","0.2996","0.2996"
"638","0.3298","0.3298","0.3298"
"639","0.3048","0.3048","0.3048"
"640","0.3089","0.3089","0.3089"
"641","0.2973","0.2973","0.2973"
"642","0.3138","0.3138","0.3138"
"643","0.3168","0.3168","0.3168"
"644","0.3193","0.3193","0.3193"
"645","0.3276","0.3276","0.3276"
"646","0.3326","0.3326","0.3326"
"647","0.3399","0.3399","0.3399"
"648","0.3253","0.3253","0.3253"
"649","0.3192","0.3192","0.3192"
"650","0.3081","0.3081","0.3081"
"651","0.3291","0.3291","0.3291"
"652","0.3176","0.3176","0.3176"
"653","0.3019","0.3019","0.3019"
"654","0.3176","0.3176","0.3176"
"655","0.343","0.343","0.343"
"656","0.337","0.337","0.337"
"657","0.2819","0.2819","0.2819"
"658","0.3495","0.3495","0.3495"
"659","0.3151","0.3151","0.3151"
"660","0.3245","0.3245","0.3245"
"661","0.3326","0.3326","0.3326"
"662","0.3447","0.3447","0.3447"
"663","0.2981","0.2981","0.2981"
"664","0.3246","0.3246","0.3246"
"665","0.3404","0.3404","0.3404"
"666","0.3369","0.3369","0.3369"
"667","0.3257","0.3257","0.3257"
"668","0.2932","0.2932","0.2932"
"669","0.3625","0.3625","0.3625"
"670","0.3109","0.3109","0.3109"
"671","0.316","0.316","0.316"
"672","0.3353","0.3353","0.3353"
"673","0.3209","0.3209","0.3209"
"674","0.3589","0.3589","0.3589"
"675","0.3287","0.3287","0.3287"
"676","0.3266","0.3266","0.3266"
"677","0.3206","0.3206","0.3206"
"678","0.3445","0.3445","0.3445"
"679","0.3284","0.3284","0.3284"
"680","0.3352","0.3352","0.3352"
"681","0.3292","0.3292","0.3292"
"682","0.3261","0.3261","0.3261"
"683","0.338","0.338","0.338"
"684","0.3138","0.3138","0.3138"
"685","0.3315","0.3315","0.3315"
"686","0.313","0.313","0.313"
"687","0.322","0.322","0.322"
"688","0.329","0.329","0.329"
"689","0.3223","0.3223","0.3223"
"690","0.3295","0.3295","0.3295"
"691","0.3441","0.3441","0.3441"
"692","0.3333","0.3333","0.3333"
"693","0.328","0.328","0.328"
"694","0.3653","0.3653","0.3653"
"695","0.3586","0.3586","0.3586"
"696","0.3352","0.3352","0.3352"
"697","0.3401","0.3401","0.3401"
"698","0.3411","0.3411","0.3411"
"699","0.3367","0.3367","0.3367"
"700","0.3247","0.3247","0.3247"
"701","0.3501","0.3501","0.3501"
"702","0.3323","0.3323","0.3323"
"703","0.3364","0.3364","0.3364"
"704","0.3449","0.3449","0.3449"
"705","0.3232","0.3232","0.3232"
