"Step","../output/proxy_alpacmygavel.json_2.7B - train/loss","../output/proxy_alpacmygavel.json_2.7B - train/loss__MIN","../output/proxy_alpacmygavel.json_2.7B - train/loss__MAX"
"220","0.0118","0.0118","0.0118"
"221","0.0122","0.0122","0.0122"
"222","0.0137","0.0137","0.0137"
"223","0.0111","0.0111","0.0111"
"224","0.0128","0.0128","0.0128"
"225","0.0141","0.0141","0.0141"
"226","0.0106","0.0106","0.0106"
"227","0.0151","0.0151","0.0151"
"228","0.0129","0.0129","0.0129"
"229","0.0149","0.0149","0.0149"
"230","0.0156","0.0156","0.0156"
"231","0.016","0.016","0.016"
"232","0.0149","0.0149","0.0149"
"233","0.0147","0.0147","0.0147"
"234","0.0131","0.0131","0.0131"
"235","0.0097","0.0097","0.0097"
"236","0.0085","0.0085","0.0085"
"237","0.0102","0.0102","0.0102"
"238","0.0087","0.0087","0.0087"
"239","0.0102","0.0102","0.0102"
"240","0.0126","0.0126","0.0126"
"241","0.0111","0.0111","0.0111"
"242","0.0084","0.0084","0.0084"
"243","0.0102","0.0102","0.0102"
"244","0.0101","0.0101","0.0101"
"245","0.012","0.012","0.012"
"246","0.0106","0.0106","0.0106"
"247","0.012","0.012","0.012"
"248","0.0129","0.0129","0.0129"
"249","0.0094","0.0094","0.0094"
"250","0.0142","0.0142","0.0142"
"251","0.015","0.015","0.015"
"252","0.0146","0.0146","0.0146"
"253","0.0084","0.0084","0.0084"
"254","0.0088","0.0088","0.0088"
"255","0.0092","0.0092","0.0092"
"256","0.0086","0.0086","0.0086"
"257","0.0091","0.0091","0.0091"
"258","0.009","0.009","0.009"
"259","0.0102","0.0102","0.0102"
"260","0.0095","0.0095","0.0095"
"261","0.0111","0.0111","0.0111"
"262","0.0088","0.0088","0.0088"
"263","0.0086","0.0086","0.0086"
"264","0.0107","0.0107","0.0107"
"265","0.0076","0.0076","0.0076"
"266","0.0123","0.0123","0.0123"
"267","0.0116","0.0116","0.0116"
"268","0.0096","0.0096","0.0096"
"269","0.0106","0.0106","0.0106"
"270","0.0096","0.0096","0.0096"
"271","0.0044","0.0044","0.0044"
"272","0.0083","0.0083","0.0083"
"273","0.0051","0.0051","0.0051"
"274","0.0088","0.0088","0.0088"
"275","0.0072","0.0072","0.0072"
"276","0.0069","0.0069","0.0069"
"277","0.0091","0.0091","0.0091"
"278","0.0099","0.0099","0.0099"
"279","0.0089","0.0089","0.0089"
"280","0.0093","0.0093","0.0093"
"281","0.0077","0.0077","0.0077"
"282","0.0083","0.0083","0.0083"
"283","0.0084","0.0084","0.0084"
"284","0.0078","0.0078","0.0078"
"285","0.0082","0.0082","0.0082"
"286","0.011","0.011","0.011"
"287","0.009","0.009","0.009"
"288","0.0102","0.0102","0.0102"
"289","0.0049","0.0049","0.0049"
"290","0.0078","0.0078","0.0078"
"291","0.0063","0.0063","0.0063"
"292","0.0074","0.0074","0.0074"
"293","0.0086","0.0086","0.0086"
"294","0.0073","0.0073","0.0073"
"295","0.0064","0.0064","0.0064"
"296","0.0067","0.0067","0.0067"
"297","0.0074","0.0074","0.0074"
"298","0.0075","0.0075","0.0075"
"299","0.008","0.008","0.008"
"300","0.0088","0.0088","0.0088"
"301","0.0084","0.0084","0.0084"
"302","0.0073","0.0073","0.0073"
"303","0.0078","0.0078","0.0078"
"304","0.0079","0.0079","0.0079"
"305","0.0085","0.0085","0.0085"
"306","0.0074","0.0074","0.0074"
"307","0.0042","0.0042","0.0042"
"308","0.0062","0.0062","0.0062"
"309","0.0047","0.0047","0.0047"
"310","0.0046","0.0046","0.0046"
"311","0.0052","0.0052","0.0052"
"312","0.0064","0.0064","0.0064"
"313","0.0058","0.0058","0.0058"
"314","0.008","0.008","0.008"
"315","0.0046","0.0046","0.0046"
"316","0.0068","0.0068","0.0068"
"317","0.0073","0.0073","0.0073"
"318","0.0083","0.0083","0.0083"
"319","0.0062","0.0062","0.0062"
"320","0.0063","0.0063","0.0063"
"321","0.0059","0.0059","0.0059"
"322","0.0071","0.0071","0.0071"
"323","0.0076","0.0076","0.0076"
"324","0.0067","0.0067","0.0067"
"325","0.005","0.005","0.005"
"326","0.0045","0.0045","0.0045"
"327","0.004","0.004","0.004"
"328","0.0054","0.0054","0.0054"
"329","0.005","0.005","0.005"
"330","0.005","0.005","0.005"
"331","0.0051","0.0051","0.0051"
"332","0.0044","0.0044","0.0044"
"333","0.005","0.005","0.005"
"334","0.0055","0.0055","0.0055"
"335","0.0059","0.0059","0.0059"
"336","0.0054","0.0054","0.0054"
"337","0.0056","0.0056","0.0056"
"338","0.0047","0.0047","0.0047"
"339","0.0068","0.0068","0.0068"
"340","0.0052","0.0052","0.0052"
"341","0.0064","0.0064","0.0064"
"342","0.0048","0.0048","0.0048"
"343","0.0041","0.0041","0.0041"
"344","0.0046","0.0046","0.0046"
"345","0.004","0.004","0.004"
"346","0.0034","0.0034","0.0034"
"347","0.0031","0.0031","0.0031"
"348","0.0047","0.0047","0.0047"
"349","0.0062","0.0062","0.0062"
"350","0.0034","0.0034","0.0034"
"351","0.004","0.004","0.004"
"352","0.0037","0.0037","0.0037"
"353","0.0028","0.0028","0.0028"
"354","0.0054","0.0054","0.0054"
"355","0.0047","0.0047","0.0047"
"356","0.0049","0.0049","0.0049"
"357","0.0054","0.0054","0.0054"
"358","0.0059","0.0059","0.0059"
"359","0.0052","0.0052","0.0052"
"360","0.005","0.005","0.005"
"361","0.0036","0.0036","0.0036"
"362","0.0036","0.0036","0.0036"
"363","0.0028","0.0028","0.0028"
