"Step","../output/proxy_alpacmygavel.json - train/loss","../output/proxy_alpacmygavel.json - train/loss__MIN","../output/proxy_alpacmygavel.json - train/loss__MAX"
"272","0.0136","0.0136","0.0136"
"273","0.0146","0.0146","0.0146"
"274","0.016","0.016","0.016"
"275","0.0157","0.0157","0.0157"
"276","0.0145","0.0145","0.0145"
"277","0.0159","0.0159","0.0159"
"278","0.015","0.015","0.015"
"279","0.015","0.015","0.015"
"280","0.0181","0.0181","0.0181"
"281","0.0176","0.0176","0.0176"
"282","0.0161","0.0161","0.0161"
"283","0.0161","0.0161","0.0161"
"284","0.0174","0.0174","0.0174"
"285","0.0174","0.0174","0.0174"
"286","0.0177","0.0177","0.0177"
"287","0.0171","0.0171","0.0171"
"288","0.017","0.017","0.017"
"289","0.0101","0.0101","0.0101"
"290","0.0132","0.0132","0.0132"
"291","0.0111","0.0111","0.0111"
"292","0.0118","0.0118","0.0118"
"293","0.0146","0.0146","0.0146"
"294","0.013","0.013","0.013"
"295","0.0117","0.0117","0.0117"
"296","0.0107","0.0107","0.0107"
"297","0.0136","0.0136","0.0136"
"298","0.0116","0.0116","0.0116"
"299","0.0152","0.0152","0.0152"
"300","0.0129","0.0129","0.0129"
"301","0.0151","0.0151","0.0151"
"302","0.0149","0.0149","0.0149"
"303","0.0143","0.0143","0.0143"
"304","0.0159","0.0159","0.0159"
"305","0.0137","0.0137","0.0137"
"306","0.0167","0.0167","0.0167"
"307","0.01","0.01","0.01"
"308","0.0092","0.0092","0.0092"
"309","0.0093","0.0093","0.0093"
"310","0.0107","0.0107","0.0107"
"311","0.0088","0.0088","0.0088"
"312","0.009","0.009","0.009"
"313","0.0096","0.0096","0.0096"
"314","0.0122","0.0122","0.0122"
"315","0.0084","0.0084","0.0084"
"316","0.0132","0.0132","0.0132"
"317","0.0122","0.0122","0.0122"
"318","0.0126","0.0126","0.0126"
"319","0.0092","0.0092","0.0092"
"320","0.0133","0.0133","0.0133"
"321","0.0122","0.0122","0.0122"
"322","0.0121","0.0121","0.0121"
"323","0.0122","0.0122","0.0122"
"324","0.0123","0.0123","0.0123"
